,Product,Reactants
12,COC(=O)CNC(=O)C(NC(=O)CNC(=O)C1CCCN1C(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(C)C,COC(=O)CN.C(=O)(C(NC(=O)CNC(=O)C1CCCN1C(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(C)C)O
13,c1ccc(CN2CCC(NCc3c[nH]cn3)CC2)cc1,c1ccc(CN2CCC(N)CC2)cc1.C(c1c[nH]cn1)=O
14,Oc1ccc(OCc2ccccc2)c(Br)c1,Oc1ccc(O)c(Br)c1.C(c1ccccc1)Br
15,CC(C)n1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,CC(C)n1nc(-c2ccc(OC)cc2)c2cccc(Cl)c12
16,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2Cc3ccccc3Sc3ncccc32)cc1,Cc1ccccc1C(=O)Cl.Nc1ccc(C(=O)N2Cc3ccccc3Sc3ncccc32)cc1
17,FC(F)(F)c1ccc(N2CCOc3ccccc32)c(Br)c1,FC(F)(F)c1ccc(F)c(Br)c1.N1CCOc2ccccc21
18,CC(C)Sc1ncccc1F,CC(C)S.c1(F)ncccc1F
19,COC(=O)C(C)(C)CN1CCN(C2=Nc3ccc(Cl)cc3Cn3cc(C)cc32)CC1,COC(=O)C(C)(C)CN1CCNCC1.C1(Cl)=Nc2ccc(Cl)cc2Cn2cc(C)cc21
20,CCN(c1nc(F)ccc1NC(C)C)C1CCNCC1,CCN(c1nc(F)ccc1NC(C)C)C1CCN(Cc2ccccc2)CC1
21,O=C1NC(=O)C(=Cc2cnn3c(NC4CC4)cc(NC4CCCC4)nc23)N1,O=C1NC(=O)CN1.C(c1cnn2c(NC3CC3)cc(NC3CCCC3)nc12)=O
22,COC(Oc1cc(Cl)cc(Cl)c1)C(=O)OC(C)(C)C,C[O-].C(Oc1cc(Cl)cc(Cl)c1)(C(=O)OC(C)(C)C)Br
23,NCc1cccc([N+](=O)[O-])c1,N.C(c1cccc([N+](=O)[O-])c1)Br
24,C#Cc1coc2ccc(C(=O)NC3CN4CCC3CC4)cc12,C(#Cc1coc2ccc(C(=O)NC3CN4CCC3CC4)cc12)[Si](C)(C)C
25,CC(=O)OC(COCCOS(C)(=O)=O)c1cccc(Cl)c1,CC(=O)OC(COCCO)c1cccc(Cl)c1.S(C)(=O)(=O)Cl
26,O=C(NCc1ccco1)N1CCC(CCOc2ccc3cc2CCc2cncc(c2)Nc2ncc(Cl)c(n2)N3)CC1,O=C=NCc1ccco1.N1CCC(CCOc2ccc3cc2CCc2cncc(c2)Nc2ncc(Cl)c(n2)N3)CC1
27,O=C1CN(c2ccncc2)CCN1c1ccc(OCc2ccccc2)cc1,O=C1CN(c2ccncc2)CCN1.c1(Br)ccc(OCc2ccccc2)cc1
28,CCC(NCCCNC(=O)OC(C)(C)C)c1nn2cccc2c(=O)n1Cc1ccccc1,CCC(c1nn2cccc2c(=O)n1Cc1ccccc1)O.NCCCNC(=O)OC(C)(C)C
29,CC(=O)c1ccccc1Oc1cnn(C(CC2CCCC2)C(=O)O)c(=O)c1,CC(=O)c1ccccc1Oc1cnn(C(CC2CCCC2)C(=O)OC)c(=O)c1
30,O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(-n2cncn2)nc1,O=C(c1ccc(-n2cncn2)nc1)O.Nc1ccc(Cl)c(-c2ccccn2)c1
31,C=C1C(=C)C2OC1C1=C2CC(C(C)=O)CC1,C=C1C(=C)C2OC1C(=C)C2=C.C(C(C)=O)=C
32,CCOC(=O)C=CCc1ccc(Br)cc1,CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.C(Cc1ccc(Br)cc1)=O
33,CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc(NC4CCOCC4)c3)cc3cnccc23)CC1,CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc(Cl)c3)cc3cnccc23)CC1.NC1CCOCC1
34,CN1Cc2cc(Cl)ccc2-n2c(Br)nnc2C1,C=O.N1Cc2cc(Cl)ccc2-n2c(Br)nnc2C1
35,CN(C)C(=O)C1CCCN1C(=O)OCc1ccccc1,CNC.C(=O)(C1CCCN1C(=O)OCc1ccccc1)O
36,CCOC(=O)Cc1ccc(OC)c(Oc2ccc([N+](=O)[O-])cc2CSCC(F)(F)F)c1,CCOC(=O)Cc1ccc(OC)c(Oc2ccc([N+](=O)[O-])cc2CBr)c1.SCC(F)(F)F
37,CC(C)(C)OC(=O)NCC1CCN(S(=O)(=O)c2cccc3cncc(Cl)c23)CC1,CC(C)(C)OC(=O)NCC1CCNCC1.S(=O)(=O)(c1cccc2cncc(Cl)c12)Cl
38,CCOC(=O)c1ccc(NC2CCC(O)CC2)c([N+](=O)[O-])c1,CCOC(=O)c1ccc(Cl)c([N+](=O)[O-])c1.NC1CCC(O)CC1
39,COc1cc(C(F)(F)F)cc(C(F)(F)F)c1C(=O)NC1CCCCC1NC1CCN(C(C)=O)CC1,COc1cc(C(F)(F)F)cc(C(F)(F)F)c1C(=O)NC1CCCCC1N.C1(=O)CCN(C(C)=O)CC1
40,CCCCCc1nc2c(N)nc3ccccc3c2n1CCCCNS(=O)(=O)c1ccccc1,CCCCCc1nc2c(N)nc3ccccc3c2n1CCCCN.S(=O)(=O)(c1ccccc1)Cl
41,CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cc(C(=O)NCCNC(C)C)cn3C)n(Cc3c[nH]c4ccc(Cl)cc34)nc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cc(C(=O)O)cn3C)n(Cc3c[nH]c4ccc(Cl)cc34)nc12.NCCNC(C)C
42,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCN1CCN(c2ccccc2)CC1,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1.C(CCN1CCN(c2ccccc2)CC1)Cl
43,CC(=O)Oc1ccccc1C,CC(=O)Cl.Oc1ccccc1C
44,COC(=O)c1ccc2c(c1)C(N(C)C(=O)OC(C)(C)C)CCC2c1ccc(Cl)c(Cl)c1,COC(=O)c1ccc2c(c1)C(NC)CCC2c1ccc(Cl)c(Cl)c1.C(=O)(OC(C)(C)C)OC(OC(C)(C)C)=O
45,COCOc1ccc(C2(C)COc3cc(OCOC)ccc3C2CCCCCCCCOS(=O)(=O)c2ccc(C)cc2)cc1,COCOc1ccc(C2(C)COc3cc(OCOC)ccc3C2CCCCCCCCO)cc1.S(=O)(=O)(c1ccc(C)cc1)Cl
46,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)c1cccc(C(=O)N(C)C)c1,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)c1cccc(C(=O)O)c1.N(C)C
47,FC(F)(F)c1cc(-c2c[nH]cn2)cc(C(F)(F)F)c1,FC(F)(F)c1cc(B(O)O)cc(C(F)(F)F)c1.c1(I)c[nH]cn1
48,N#CC1CCN(C(=O)OCc2ccccc2)CC1,N#CC1CCNCC1.C(=O)(OCc1ccccc1)Cl
49,CCSc1nc(N2CCOCC2CO)cc(C)c1C(=O)NCc1cccc(F)c1,CCSc1nc(Cl)cc(C)c1C(=O)NCc1cccc(F)c1.N1CCOCC1CO
50,CC12CCC(C(=O)Nc3ccc(Cl)cc3C(O)(C#CC3CC3)C(F)(F)F)(OC1=O)C2(C)C,CC12CCC(C(=O)Nc3ccc(Cl)cc3C(=O)C(F)(F)F)(OC1=O)C2(C)C.C#CC1CC1
51,Cc1ccc(C(C)(C)C)cc1N,Cc1ccc(C(C)(C)C)cc1[N+](=O)[O-]
52,CNc1cccc(NC(=O)NC(=O)c2ccccc2)c1C#N,CNc1cccc(N)c1C#N.C(=O)=NC(=O)c1ccccc1
53,CC1=C(C#N)C(c2ccc3c(c2)c(NS(=O)(=O)Cc2ccc(F)cc2)nn3C(=O)OC(C)(C)C)C(C#N)=C(C)N1,CC1=C(C#N)C(c2ccc3c(c2)c(N)nn3C(=O)OC(C)(C)C)C(C#N)=C(C)N1.S(=O)(=O)(Cc1ccc(F)cc1)Cl
54,O=C(Cc1cc(F)cc(F)c1)NC(Cc1cc2ccccc2[nH]1)C(=O)NC1C(=O)Nc2ccccc2SC1c1ccccc1,O=C(Cc1cc(F)cc(F)c1)NC(Cc1cc2ccccc2[nH]1)C(=O)O.NC1C(=O)Nc2ccccc2SC1c1ccccc1
55,CCNC(=O)c1c(OCc2ccccc2)c(OCc2ccccc2)c(C(=O)N(C)C)n1-c1ccc(OC)cc1,CCN.C(=O)(c1c(OCc2ccccc2)c(OCc2ccccc2)c(C(=O)N(C)C)n1-c1ccc(OC)cc1)OCC
56,CN(Cc1ccccc1)c1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1COC(C)(C)C2,CN(Cc1ccccc1)c1nc2oc3c(Cl)ncnc3c2c2c1COC(C)(C)C2.NCCN1CCOCC1
57,c1ccc(COc2ccc(-c3nccc(NC4CCCC4)n3)cc2)cc1,c1ccc(COc2ccc(B(O)O)cc2)cc1.c1(Cl)nccc(NC2CCCC2)n1
58,C#CCNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)OCC(O)(CO)CN3CC)ncc1Cl,C#CCNC(=O)c1cccc(F)c1Nc1nc(Cl)ncc1Cl.Nc1ccc2c(c1)OCC(O)(CO)CN2CC
59,O=C(NCCC1CC1)c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1,O=C(c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1)O.NCCC1CC1
60,CC(C)(C)c1noc(N2CCC(N(C(=O)c3cc(-c4ccc(C#N)cc4F)no3)C3CC3)CC2)n1,CC(C)(C)c1noc(N2CCC(NC3CC3)CC2)n1.C(=O)(c1cc(-c2ccc(C#N)cc2F)no1)O
61,O=C(O)c1ccc(CBr)c(F)c1,O=C(O)c1ccc(C)c(F)c1.BrN1C(=O)CCC1=O
62,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)CC(=O)O,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)CC(=O)OC
63,COc1ccc(C2=CCC3(CC2)OCCO3)cc1,COc1ccc(B(O)O)cc1.C1(OS(=O)(=O)C(F)(F)F)=CCC2(CC1)OCCO2
64,CNC(=O)N1CC(c2ccccc2)N(C2CCN(C(=O)OC(C)(C)C)CC2)C1=O,CN=C=O.N1CC(c2ccccc2)N(C2CCN(C(=O)OC(C)(C)C)CC2)C1=O
65,O=[N+]([O-])c1cc(Br)ccc1NCC1(O)CCCC1,O=[N+]([O-])c1cc(Br)ccc1Br.NCC1(O)CCCC1
66,C=CC(=O)OCC(Cl)(Cl)Cl,C=CC(=O)Cl.OCC(Cl)(Cl)Cl
67,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)OCC(F)(F)F.NCC1CCCCN1
68,Cc1nc2c(nc1Nc1cnn(C)c1)c(C(=O)NC(C)(C)C)cn2COCC[Si](C)(C)C,Cc1nc2c(nc1Br)c(C(=O)NC(C)(C)C)cn2COCC[Si](C)(C)C.Nc1cnn(C)c1
69,CC(Nc1ncccc1I)C1CCOCC1,CC([NH3+])C1CCOCC1.c1(F)ncccc1I
70,CC(C)(C)OC(=O)NC1(c2ccc(-c3c(-c4ccc(C(=O)OCc5ccccc5)cc4)nc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1,CC(C)(C)OC(=O)NC1(c2ccc(-c3c(Cl)nc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1.c1(B(O)O)ccc(C(=O)OCc2ccccc2)cc1
71,O=C(O)CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2,O=C(OCC)CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2
72,NC(=O)c1ncc(-c2cccc(-c3ccccc3C(F)(F)F)c2)[nH]1,N.C(=O)(c1ncc(-c2cccc(-c3ccccc3C(F)(F)F)c2)[nH]1)OC
73,c1ccc(C2CCC3(CC2)OCCO3)nc1,c1ccc(C2=CCC3(CC2)OCCO3)nc1
74,CC1CNCCN1C1CCc2ccc(C(F)(F)F)cc21,CC1CN(C(OC(C)(C)C)=O)CCN1C1CCc2ccc(C(F)(F)F)cc21
75,COC(=O)c1cc(C(F)(F)F)nn1CCBr,COC(=O)c1cc(C(F)(F)F)n[nH]1.C(CBr)Br
76,CC(NC(c1ccc(F)cc1)c1cccc(N)c1)c1ccc(F)c(F)c1,CC(NC(c1ccc(F)cc1)c1cccc([N+](=O)[O-])c1)c1ccc(F)c(F)c1
77,COc1nc(Cl)cnc1NS(=O)(=O)c1ccc(Br)s1,COc1nc(Cl)cnc1N.S(=O)(=O)(c1ccc(Br)s1)Cl
78,CCC(=O)COc1cc(N)c(Cl)cc1C(=O)NCCN(CC)CC,CCC(=O)CBr.Oc1cc(N)c(Cl)cc1C(=O)NCCN(CC)CC
79,O=C(Cc1cnccn1)NC(COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1,O=C(Cc1cnccn1)O.NC(COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1
80,CCNC(=S)NCc1ccccc1,CCN=C=S.NCc1ccccc1
81,CCOCCOCCC(=O)Nc1ccc2c(c1)C(C)(c1ccccc1)CC(C)(C)N2C(C)=O,CCOCCO.C=CC(=O)Nc1ccc2c(c1)C(C)(c1ccccc1)CC(C)(C)N2C(C)=O
82,NC(CO)c1cccc(NC2CCCCC2)c1,NC(C(=O)OC)c1cccc(NC2CCCCC2)c1
83,CNc1ccc(OC)cc1C,C=O.Nc1ccc(OC)cc1C
84,CCNCC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)C1,CCNCC1CCNC1.c1(Cl)nc2c(cc1F)c(=O)c(C(=O)O)cn2CC
85,CN1CCN(Cc2ccc(-c3cc(Cn4cc5nc(-c6cccc(F)c6F)nc-5cn4)on3)cc2)CC1,CN1CCN(Cc2ccc(-c3cc(CCl)on3)cc2)CC1.[nH]1cc2nc(-c3cccc(F)c3F)nc-2cn1
86,CCOC(=O)c1csc(I)n1,CCOC(=O)c1csc(N)n1.ICI
87,CC(C)(C)C(=O)ONC1CSc2c(cccc2-c2ccccc2)NC1=O,CC(C)(C)C(=O)ONC(CSc1c(N)cccc1-c1ccccc1)C(=O)O
88,O=[N+]([O-])c1ccc2c(c1)c(-c1cn[nH]c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,O=[N+]([O-])c1ccc2c(c1)c(Br)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1.c1(B2OC(C)(C)C(C)(C)O2)cn[nH]c1
89,CCCCCc1ccc(-c2cc3cn(C4CC(OC(=O)OCc5ccccc5)C(CO)O4)c(=O)nc3o2)cc1,CCCCCc1ccc(-c2cc3cn(C4CC(OC(=O)OCc5ccccc5)C(CO[Si](C(C)(C)C)(C)C)O4)c(=O)nc3o2)cc1
90,CN(C)c1ccc(-c2cnc3ccc(O)cc3n2)cc1,CN(C)c1ccc(-c2cnc3ccc(O[Si](C(C)(C)C)(C)C)cc3n2)cc1
91,Cc1c(C(=O)O)sc2cc(C(F)(F)F)ccc12,Cc1c(C(=O)OC)sc2cc(C(F)(F)F)ccc12
92,COc1ccc(C(O)C(NC(=O)C(N)CO)C(=O)OCc2ccccc2)cc1,COc1ccc(C(O)C(NC(=O)C(NC(OC(C)(C)C)=O)CO)C(=O)OCc2ccccc2)cc1
93,CCCOc1ccc(C)cc1-c1nc(N)c(N)c(=O)[nH]1,CCCOc1ccc(C)cc1-c1nc(N)c(N=O)c(=O)[nH]1
94,CCCc1nc2c(cc1C(=O)O)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2,CCCc1nc2c(cc1C(=O)OC)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2
95,Cc1ccc(-n2ccc(NC(=O)c3cc(Cl)ccc3[N+](=O)[O-])n2)cc1C,Cc1ccc(-n2ccc(N)n2)cc1C.C(=O)(c1cc(Cl)ccc1[N+](=O)[O-])Cl
96,COc1cc2c(cc1[N+](=O)[O-])CCN(C(CF)CF)CC2,COc1cc2c(cc1[N+](=O)[O-])CCNCC2.C(CF)(CF)O
97,CCOC(=O)c1cn2c3c(cc(C#CCNC(=O)OC(C)(C)C)cc3c1=O)CCC2,CCOC(=O)c1cn2c3c(cc(Br)cc3c1=O)CCC2.C#CCNC(=O)OC(C)(C)C
98,CC(C)c1c(C(=O)NCc2ccc(F)c(F)c2)c2ccc(OCc3ccccc3)cc2n1Cc1ccccc1,CC(C)c1c(C(=O)NCc2ccc(F)c(F)c2)c2ccc(O)cc2n1Cc1ccccc1.C(c1ccccc1)Br
99,O=C(O)CNC(=O)c1cccs1,O=C(OCC)CNC(=O)c1cccs1
100,O=C(Nc1nnn[nH]1)c1cccc([N+](=O)[O-])c1O,O=C(c1cccc([N+](=O)[O-])c1O)O.Nc1nnn[nH]1
101,CC(C)c1ccc(N(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)C(=O)C2CCCc3c(OCc4ccccc4)cccc32)cc1,CC(C)c1ccc(NCc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)cc1.C(=O)(C1CCCc2c(OCc3ccccc3)cccc21)O
102,NCCc1ccc(Oc2ncccc2C(N)=O)cc1,N(CCc1ccc(Oc2ncccc2C(N)=O)cc1)C(OC(C)(C)C)=O
103,CC(=O)N(N=Nc1cc(C(F)(F)F)ccc1C#N)c1cc(C(F)(F)F)ccc1C#N,CC(=O)OC(C)=O.N(N=Nc1cc(C(F)(F)F)ccc1C#N)c1cc(C(F)(F)F)ccc1C#N
104,CCc1nc2c(C)cc(CC(C)O)nc2n1C1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21,CCc1nc2c(C)cc(CC(C)=O)nc2n1C1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21
105,C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)O)ccc1C,C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)OC)ccc1C
106,O=C(O)c1ccc2c(c1)CC1C2CCCN1C(=O)c1ccc2[nH]cnc2c1,O=C(OC)c1ccc2c(c1)CC1C2CCCN1C(=O)c1ccc2[nH]cnc2c1
107,O=Cc1cc(F)c(OCc2ccccc2)c(F)c1,O=Cc1cc(F)c(O)c(F)c1.C(c1ccccc1)Cl
108,CC(=O)Oc1ccc(-c2ccccc2)cc1,CC(=O)Cl.Oc1ccc(-c2ccccc2)cc1
109,O=C(O)CSc1nc2cc(-c3ccc(-c4ccccc4O)cc3)c(Cl)cc2[nH]1,O=C(OC(C)(C)C)CSc1nc2cc(-c3ccc(-c4ccccc4O)cc3)c(Cl)cc2[nH]1
110,CC1CN2c3c(cc4c(N5CCNCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)C2C(C)O1,CC1CN2c3c(cc4c(N5CCN(C(OC(C)(C)C)=O)CC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)C2C(C)O1
111,COC(=O)c1c(CN(CC#N)S(=O)(=O)c2ccc(C)cc2)n(S(=O)(=O)c2ccccc2)c2ncccc12,COC(=O)c1c(CBr)n(S(=O)(=O)c2ccccc2)c2ncccc12.N(CC#N)S(=O)(=O)c1ccc(C)cc1
112,CC(C)OC(=O)c1sc(Cl)nc1C(F)(F)F,CC(C)O.OC(=O)c1sc(Cl)nc1C(F)(F)F
113,O=c1c(-n2ccnc2)c[nH]n1-c1cc(N2CCC(F)(F)C2)ncn1,O=c1c(-n2ccnc2)c[nH]n1-c1cc(Cl)ncn1.N1CCC(F)(F)C1
114,O=C1C(=O)c2ccccc2C2=C1SCC1(CCN(CC3CCCO3)CC1)O2,O=C1C(=O)c2ccccc2C2=C1SCC1(CCNCC1)O2.C(C1CCCO1)Br
115,Cc1cc(Cl)nc(N2CCC(F)C2)c1[N+](=O)[O-],Cc1cc(Cl)nc(Cl)c1[N+](=O)[O-].N1CCC(F)C1
116,COc1c(OC(F)F)ccc(-c2cccc3c2CCC3=O)c1OCc1ccc(S(C)(=O)=O)cc1,COc1c(OC(F)F)ccc(-c2cccc3c2CCC3=O)c1O.C(c1ccc(S(C)(=O)=O)cc1)Br
117,Cc1cc(Br)c2c3c1N(C)CC3CN(C(=O)OC(C)(C)C)CC2,CI.c1(Br)cc(Br)c2c3c1N(C)CC3CN(C(=O)OC(C)(C)C)CC2
118,CCc1cnc(N2CCC(C3Cc4cc(C5=CCN(S(C)(=O)=O)CC5)ncc4O3)CC2)nc1,CCc1cnc(Cl)nc1.N1CCC(C2Cc3cc(C4=CCN(S(C)(=O)=O)CC4)ncc3O2)CC1
119,COc1ccccc1N1CCN(Cc2c(C3CC3)nn(-c3ccccc3)c2N)CC1,COc1ccccc1N1CCNCC1.C=O.c1c(C2CC2)nn(-c2ccccc2)c1N
120,CC(=O)Nc1ccc(Oc2ccc([N+](=O)[O-])nc2)cc1,CC(=O)Nc1ccc(O)cc1.c1(Br)ccc([N+](=O)[O-])nc1
121,COc1ccc(C(NC2=NC(C)(c3cc(Nc4ccccc4OC)ccc3F)C(F)CO2)(c2ccccc2)c2ccc(OC)cc2)cc1,COc1ccc(C(NC2=NC(C)(c3cc(Br)ccc3F)C(F)CO2)(c2ccccc2)c2ccc(OC)cc2)cc1.Nc1ccccc1OC
122,COc1ccc(C2SC=C(c3ccccc3)N(CCN(C)C)C(=O)C2O)cc1,COc1ccc(C2SC=C(c3ccccc3)N(CCN(C)C)C(=O)C2OC(C)=O)cc1
123,CCCCN1CCCC(Nc2ccc(-n3ccnc3)cc2C)C1,CCCCN1CCCC(=O)C1.Nc1ccc(-n2ccnc2)cc1C
124,CCOC(=O)CC1OB(O)c2cc(Oc3cccc(CN4CCN(C(=O)OC(C)(C)C)CC4)c3)ccc21,CCOC(=O)CC1OB(O)c2cc(Oc3cccc(C=O)c3)ccc21.N1CCN(C(=O)OC(C)(C)C)CC1
125,COc1ccc(-c2c(F)ccc3c2C(=Cc2[nH]cnc2C)C(=O)N3)c(OC)c1,COc1ccc(B(O)O)c(OC)c1.c1(I)c(F)ccc2c1C(=Cc1[nH]cnc1C)C(=O)N2
126,Cc1cc2c(ccc3nnc(C)n32)n1Cc1ccccn1,Cc1cc2c(ccc3nnc(C)n23)[nH]1.C(c1ccccn1)Br
127,CC(C)(C)OC(=O)N1CCCC1COc1cccc(CO[Si](C)(C)C(C)(C)C)n1,CC(C)(C)OC(=O)N1CCCC1CO.c1(Br)cccc(CO[Si](C)(C)C(C)(C)C)n1
128,COc1ccccc1C(c1cccc2ccccc12)C(C)(C#N)C(=O)N1CCN(CCN2CCOCC2)CC1,COc1ccccc1C(c1cccc2ccccc12)C(C)(C#N)C(=O)O.N1CCN(CCN2CCOCC2)CC1
129,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(OC(C)C(=O)N(C)C)c34)cc2C)cn1,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(F)c34)cc2C)cn1.OC(C)C(=O)N(C)C
130,CC(C)=Cc1ccc2c(c1)OCO2,CC(C)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.C(c1ccc2c(c1)OCO2)=O
131,CC(C)(C)OC(=O)N1CCC(CCOc2ccc(C(=O)OCc3ccccc3)cc2)CC1,CC(C)(C)OC(=O)N1CCC(CCO)CC1.Oc1ccc(C(=O)OCc2ccccc2)cc1
132,CCc1ccc(-c2coc3ncnc(OC(C)CCCCC(=O)OC(C)(C)C)c23)cc1,CCc1ccc(-c2coc3ncnc(Cl)c23)cc1.OC(C)CCCCC(=O)OC(C)(C)C
133,O=c1c2cc(C(F)(F)F)ccc2ccn1-c1cncc(F)c1,O=c1c2cc(C(F)(F)F)ccc2cc[nH]1.c1(Br)cncc(F)c1
134,CCOC(=O)c1sc(Cl)nc1-c1nnco1,CCOC(=O)c1sc(Cl)nc1C(NNC=O)=O
135,CCCS(=O)(=O)c1cc(OCCCCCCc2cccc(OCCCC(=O)OCC)c2CCC(=O)OCC)cc(-c2ccsc2)c1,CCCS(=O)(=O)c1cc(OCCCCCCc2cccc(OCCCC(=O)OCC)c2CCC(=O)OCC)cc(Br)c1.c1(B(O)O)ccsc1
